"Timestamp","Please check the box below to proceed to the survey:","Sex","Age","Citizenship","Occupation","Department","Health Authority","Workplace","Total Years of Practice","Number of patients seen in a week","Have you received the COVID-19 vaccine?","Have you received the influenza vaccine last year?","Vaccine usage and efficacy.","Vaccine safety.","Role of adjuvants.","What is your main source of information about vaccines recommendation and their safety?","Influenza Vaccine and  Guillain-Barré syndrome","Hepatitis B Vaccine and  Guillain-Barré syndrome","Hepatitis B Vaccine and Multiple Sclerosis","Aluminum Adjuvants and Alzheimer Disease","Vaccines with Adjuvants and Long-Term Complications","Measles Vaccine and Autism Disorder","Vaccines are an important part of preventive care in my practice.","Giving a strong recommendation for a vaccination impacts my patients' acceptance.","I prefer to wait for broad community experience before recommending new vaccines.","I am responsible for educating parents on vaccines and the diseases they prevent.","Vaccines recommended by the ministry of health are very useful.  ","There is often a lack of time for advising about vaccines.","How have YOUR attitudes to vaccination changed during the COVID-19 pandemic?","How have your PATIENTS' attitudes to vaccination changed during the COVID-19 pandemic?","How many patients in your practice had a vaccine preventable disease (OTHER THAN COVID-19) in the last year?","Diphtheria, Pertussis, Tetanus, (DTaP/Tdap)","Pneumococcus (PCV13)","Meningococcus (MCV4)","Chickenpox (varicella)","Hemophilus Influenza b(Hib)","Tuberculosis (BCG)","Polio (IPV/OPV)","Measles, Mumps, Rubella (MMR)","Hepatitis A","Hepatitis B","Rotavirus","Seasonal influenza vaccine","Human Papillomavirus (HPV9/HPV4)","What are the 5 most important factors to you personally when it comes to recommending a pediatric vaccine? ","Childhood vaccines are important for children's health.","Childhood vaccines are effective.","Having children vaccinated is important for the health of others in the community.","All childhood vaccines offered by the government programme in the community are beneficial.","New vaccines carry more risks than older vaccines.","The information I receive about vaccines from the vaccine program is reliable and trustworthy.","Getting vaccines is a good way to protect children from disease.","Generally, I promote what my health authority/clinical guidelines recommend about vaccines for children.","I am concerned about serious adverse effects of vaccines.","Children does/do not need vaccines for diseases that are not common anymore.","Have you received any training to address vaccine hesitancy among parents?
","How interested would you be in receiving training in techniques that help address and resolve vaccine hesitancy concerns among parents?","Do you believe such training should be part of university education?"
"2024/03/19 2:11:43 AM GMT+4","I have read the above information and agree to participate in this research.","Male","45","Non-Arab","Dentist","Orthodontist","DHA","Private Clinic/Hospital","22","50 and above","Yes, 4 doses or more","Yes","Somewhat confident","Somewhat confident","Somewhat unconfident","Colleagues experience and advice;International guidelines;Journals and medical websites","Very unlikely","Very unlikely","Very unlikely","Likely","Likely","Very unlikely","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Neutral","More positive","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","I do not directly deal with pediatric vaccines in my practice","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","No","Neutral","Maybe"
"2024/03/19 4:59:09 AM GMT+4","I have read the above information and agree to participate in this research.","Female","27","Other Arab","Pharmacist","Pharmacist","MOHAP","Not working","1","1 to 19","No","No","Very unconfident","Very unconfident","Somewhat unconfident","I am not keen on information about vaccinations","I don't know","I don't know","Likely","I don't know","Likely","I don't know","Agree","Agree","Agree","Agree","Strongly agree","Agree","Neutral","Neutral","None","Strongly disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice;Vaccine safety;Vaccine effectiveness","Agree","Strongly agree","Agree","Strongly agree","Not sure","Not sure","Strongly agree","Agree","Disagree","Disagree","No","Not interested at all","Maybe"
"2024/03/19 8:26:04 AM GMT+4","I have read the above information and agree to participate in this research.","Female","24","Other Arab","Physician","Internship","MOHAP","Government Hospital","1","1 to 19","Yes, 3 doses","No","Very confident","Very confident","Very confident","Medical experience;Colleagues experience and advice;Experience of family and friends;Local guidelines;International guidelines;Journals and medical websites;Vaccine manufacturers","Unlikely","Very unlikely","Very unlikely","I don't know","I don't know","Very unlikely","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Neutral","More negative","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","No","Very interested","Yes"
"2024/03/19 8:31:39 AM GMT+4","I have read the above information and agree to participate in this research.","Female","24","Emirati","Medical intern","All departments ","MOHAP","Government Hospital","1","50 and above","Yes, 2 doses","No","Very confident","Very confident","Very confident","Medical experience;Colleagues experience and advice;Local guidelines;International guidelines;Journals and medical websites","Very unlikely","Very unlikely","Very unlikely","Very unlikely","I don't know","Very unlikely","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Neutral","More negative","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly disagree","No","Very interested","Yes"
"2024/03/19 10:09:08 AM GMT+4","I have read the above information and agree to participate in this research.","Female","24","Other Arab","Intern","N/A","DOH/HAAD/SEHA","Private Clinic/Hospital","0.5","1 to 19","Yes, 3 doses","No","Somewhat confident","Somewhat confident","Somewhat unconfident","Local guidelines;International guidelines;Journals and medical websites","I don't know","I don't know","Very unlikely","I don't know","I don't know","Very unlikely","Strongly agree","Disagree","Disagree","Agree","Agree","Agree","More negative","Neutral","Few cases","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Strongly agree","Agree","Not sure","Disagree","No","Not interested at all","Maybe"
"2024/03/19 10:22:11 AM GMT+4","I have read the above information and agree to participate in this research.","Male","24","Other Arab","Surgeons or physicians. I’m a physician","Internship","MOHAP","Government Hospital","0","20 to 49","Yes, 4 doses or more","Yes","Very confident","Very confident","Very confident","International guidelines","Very unlikely","Very unlikely","Very unlikely","Very unlikely","I don't know","Very unlikely","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","More positive","More positive","Few cases","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Not sure","Not sure","No","Very interested","Yes"
"2024/03/19 10:55:26 AM GMT+4","I have read the above information and agree to participate in this research.","Female","24","Non-Arab","Physician","Pediatric ","MPMC","Government Hospital","1","20 to 49","Yes, 3 doses","No","Somewhat confident","Somewhat confident","Somewhat unconfident","Medical experience;International guidelines","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly agree","Agree","Disagree","Strongly agree","Strongly agree","Disagree","Neutral","More positive","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Severity/lethality of the prevented disease;Incidence of disease;Inclusion of vaccine in the official immunization schedule;Vaccine effectiveness;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","No","Very interested","Maybe"
"2024/03/19 8:18:48 PM GMT+4","I have read the above information and agree to participate in this research.","Female","45","Non-Arab","Physician","Family medicine specialist ","MOHAP","Primary Healthcare","15","50 and above","Yes, 4 doses or more","Yes","Somewhat confident","Somewhat confident","Somewhat confident","Local guidelines","Very unlikely","Unlikely","Very unlikely","I don't know","Unlikely","Very unlikely","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Agree","More positive","Neutral","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Vaccine safety;Vaccine effectiveness","Agree","Agree","Agree","Agree","Not sure","Agree","Strongly agree","Agree","Agree","Disagree","No","Interested","Yes"
"2024/03/19 8:36:51 PM GMT+4","I have read the above information and agree to participate in this research.","Female","24","Other Arab","Dentist","Dentistry (general)","MOHAP","Private Clinic/Hospital","1","20 to 49","Yes, 3 doses","No","Very confident","Very confident","Somewhat confident","Local guidelines;International guidelines;Journals and medical websites","I don't know","I don't know","Likely","Likely","Likely","Unlikely","Strongly agree","Strongly agree","Agree","Agree","Agree","Disagree","More positive","More negative","None","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","Agree","Strongly agree","Strongly agree","Not sure","Strongly disagree","No","Very interested","Yes"
"2024/03/19 8:37:22 PM GMT+4","I have read the above information and agree to participate in this research.","Female","41","Other Arab","Physician","Family medicine ","DOH/HAAD/SEHA","Private Clinic/Hospital","15","50 and above","Yes, 3 doses","Yes","Very confident","Somewhat confident","Somewhat confident","International guidelines","Unlikely","Unlikely","Unlikely","Unlikely","Very unlikely","Unlikely","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Agree","More positive","More positive","Tens of cases","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","I do not directly deal with pediatric vaccines in my practice;Incidence of disease;Possibility to eradicate disease with vaccination;Personal experience with the disease;Vaccine cost","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","No","Very interested","Yes"
"2024/03/19 8:57:45 PM GMT+4","I have read the above information and agree to participate in this research.","Female","26","Other Arab","Physician","Pediatrics","DOH/HAAD/SEHA","Government Hospital","2","50 and above","Yes, 2 doses","Yes","Somewhat confident","Very confident","Very confident","Medical experience;Local guidelines;International guidelines","Unlikely","Unlikely","Likely","Unlikely","Unlikely","Unlikely","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Neutral","Neutral","Hundreds of cases and more","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Vaccine safety;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","Yes","Neutral","Yes"
"2024/03/19 9:12:28 PM GMT+4","I have read the above information and agree to participate in this research.","Female","34","Other Arab","Physician","Family Medicine ","MOHAP","Primary Healthcare","6","50 and above","Yes, 2 doses","Yes","Somewhat confident","Somewhat confident","Somewhat confident","Medical experience;Colleagues experience and advice;Experience of family and friends;International guidelines;Journals and medical websites","I don't know","Likely","Likely","Unlikely","Very unlikely","Very likely","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly Disagree","Neutral","Neutral","Hundreds of cases and more","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Agree","Agree","Disagree","Disagree","Yes","Interested","Yes"
"2024/03/19 9:25:25 PM GMT+4","I have read the above information and agree to participate in this research.","Female","49","Non-Arab","Physician","General practitioner ","MOHAP","Primary Healthcare","18","20 to 49","Yes, 3 doses","Yes","Somewhat confident","Somewhat confident","Somewhat confident","International guidelines;Journals and medical websites","Very unlikely","Very unlikely","Unlikely","I don't know","Unlikely","Very unlikely","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Neutral","Neutral","Few cases","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Severity/lethality of the prevented disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness","Strongly agree","Agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","No","Interested","Yes"
"2024/03/19 11:10:58 PM GMT+4","I have read the above information and agree to participate in this research.","Female","49","Emirati","Physician","Family medicine ","MOHAP","Primary Healthcare","20","50 and above","Yes, 3 doses","Yes","Very confident","Very confident","Somewhat confident","Local guidelines;International guidelines;Vaccine manufacturers","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly agree","Agree","Disagree","Agree","Strongly agree","Agree","More positive","More negative","Hundreds of cases and more","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Incidence of disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Agree","Not sure","Agree","Disagree","Disagree","No","Neutral","Maybe"
"2024/03/20 12:12:03 AM GMT+4","I have read the above information and agree to participate in this research.","Female","41","Non-Arab","Physician","Family medicine","Ehs","Primary Healthcare","9","50 and above","No","Yes","Very confident","Very confident","Very confident","Medical experience;Colleagues experience and advice;Experience of family and friends;Local guidelines;International guidelines;Journals and medical websites","Unlikely","Unlikely","Unlikely","Likely","Unlikely","Likely","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Disagree","More positive","Neutral","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Severity/lethality of the prevented disease;Possibility to eradicate disease with vaccination;Vaccine safety;Vaccine effectiveness;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","No","Very interested","Yes"
"2024/03/20 1:24:23 AM GMT+4","I have read the above information and agree to participate in this research.","Female","23","Other Arab","Physician","Intern","MOHAP","Government Hospital","1","50 and above","Yes, 4 doses or more","No","Somewhat confident","Somewhat confident","Somewhat confident","Medical experience;Colleagues experience and advice;International guidelines;Journals and medical websites","Likely","Unlikely","Unlikely","Unlikely","Unlikely","Unlikely","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","More positive","Neutral","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Vaccine safety;Vaccine effectiveness;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","Yes","Interested","Yes"
"2024/03/20 10:12:57 AM GMT+4","I have read the above information and agree to participate in this research.","Female","42","Non-Arab","Physician","Family medicine ","MOHAP","Primary Healthcare","16","50 and above","Yes, 4 doses or more","Yes","Somewhat confident","Somewhat confident","Somewhat unconfident","Medical experience;Local guidelines","Unlikely","Unlikely","Unlikely","I don't know","I don't know","Very unlikely","Agree","Agree","Agree","Agree","Agree","Agree","More positive","More positive","Hundreds of cases and more","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","No","Neutral","Yes"
