"Timestamp","Please check the box below to proceed to the survey:","Sex","Age","Citizenship","Occupation","Department","Health Authority","Workplace","Total Years of Practice","Number of patients seen in a week","Have you received the COVID-19 vaccine?","Have you received the influenza vaccine last year?","Vaccine usage and efficacy.","Vaccine safety.","Role of adjuvants.","What is your main source of information about vaccines recommendation and their safety?","Influenza Vaccine and  Guillain-Barré syndrome","Hepatitis B Vaccine and  Guillain-Barré syndrome","Hepatitis B Vaccine and Multiple Sclerosis","Aluminum Adjuvants and Alzheimer Disease","Vaccines with Adjuvants and Long-Term Complications","Measles Vaccine and Autism Disorder","Vaccines are an important part of preventive care in my practice.","Giving a strong recommendation for a vaccination impacts my patients' acceptance.","I prefer to wait for broad community experience before recommending new vaccines.","I am responsible for educating parents on vaccines and the diseases they prevent.","Vaccines recommended by the ministry of health are very useful.  ","There is often a lack of time for advising about vaccines.","How have YOUR attitudes to vaccination changed during the COVID-19 pandemic?","How have your PATIENTS' attitudes to vaccination changed during the COVID-19 pandemic?","How many patients in your practice had a vaccine preventable disease (OTHER THAN COVID-19) in the last year?","Diphtheria, Pertussis, Tetanus, (DTaP/Tdap)","Pneumococcus (PCV13)","Meningococcus (MCV4)","Chickenpox (varicella)","Hemophilus Influenza b(Hib)","Tuberculosis (BCG)","Polio (IPV/OPV)","Measles, Mumps, Rubella (MMR)","Hepatitis A","Hepatitis B","Rotavirus","Seasonal influenza vaccine","Human Papillomavirus (HPV9/HPV4)","What are the 5 most important factors to you personally when it comes to recommending a pediatric vaccine? ","Childhood vaccines are important for children's health.","Childhood vaccines are effective.","Having children vaccinated is important for the health of others in the community.","All childhood vaccines offered by the government programme in the community are beneficial.","New vaccines carry more risks than older vaccines.","The information I receive about vaccines from the vaccine program is reliable and trustworthy.","Getting vaccines is a good way to protect children from disease.","Generally, I promote what my health authority/clinical guidelines recommend about vaccines for children.","I am concerned about serious adverse effects of vaccines.","Children does/do not need vaccines for diseases that are not common anymore.","Have you received any training to address vaccine hesitancy among parents?
","How interested would you be in receiving training in techniques that help address and resolve vaccine hesitancy concerns among parents?","Do you believe such training should be part of university education?"
"2024/09/03 2:16:52 PM GMT+4","I have read the above information and agree to participate in this research.","Female","39","Emirati","Engineer","Biomedical Engineering ","Purehealth ","Government Hospital","15","1 to 19","Yes, 2 doses","No","Very confident","Very confident","Somewhat confident","Experience of family and friends","Likely","Likely","Likely","Unlikely","Unlikely","Unlikely","Agree","Agree","Agree","Agree","Agree","Strongly Disagree","Neutral","More negative","None","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice;Possibility to eradicate disease with vaccination;Vaccine safety;Vaccine effectiveness;Individual health-risk profile of the child","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","No","Slightly interested","Yes"
"2024/09/03 2:21:26 PM GMT+4","I have read the above information and agree to participate in this research.","Male","44","Other Arab","Pharmacist","Pharmacy ","MOHAP/EHS","Government Hospital","22","50 and above","Yes, 2 doses","No","Very unconfident","Somewhat unconfident","Somewhat confident","Medical experience;International guidelines","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Strongly disagree","Strongly disagree","Agree","Agree","Strongly disagree","Agree","More positive","More positive","Tens of cases","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Possibility to eradicate disease with vaccination;Personal experience with the disease;Vaccine cost;Vaccine safety","Not sure","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Strongly agree","Agree","Agree","Not sure","No","Interested","Yes"
"2024/09/03 2:32:45 PM GMT+4","I have read the above information and agree to participate in this research.","Male","65 ","Emirati","Physician","Medical","MOHAP/EHS","Government Hospital","40","20 to 49","Yes, 3 doses","Yes","Somewhat confident","Somewhat confident","Somewhat confident","Medical experience","Unlikely","Unlikely","Unlikely","Unlikely","Likely","Unlikely","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Hundreds of cases and more","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","I do not directly deal with pediatric vaccines in my practice;Incidence of disease;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness","Agree","Agree","Not sure","Agree","Agree","Not sure","Agree","Agree","Not sure","Agree","No","Neutral","Maybe"
"2024/09/03 2:35:02 PM GMT+4","I have read the above information and agree to participate in this research.","Male","50","Non-Arab","Physician","Neurology ","MOHAP/EHS","Government Hospital","20","50 and above","Yes, 4 doses or more","No","Very confident","Somewhat confident","Very confident","International guidelines","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Disagree","More positive","More positive","Hundreds of cases and more","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice;Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Yes","Neutral","Yes"
"2024/09/03 2:36:33 PM GMT+4","I have read the above information and agree to participate in this research.","Male","53","Emirati","Physician","Psychiatry","SHA","Private Clinic/Hospital","15","50 and above","Yes, 4 doses or more","No","Very confident","Somewhat confident","Somewhat confident","Journals and medical websites","I don't know","Very unlikely","Very unlikely","Very likely","Very likely","Very unlikely","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Agree","Strongly agree","More negative","More negative","Hundreds of cases and more","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat disagree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Disagree","Strongly agree","Not sure","Disagree","Agree","No","Not interested at all","No"
"2024/09/03 2:41:40 PM GMT+4","I have read the above information and agree to participate in this research.","Female","54","Other Arab","Nurse","Internal medicine ","DOH/HAAD/SEHA","Government Hospital","23","50 and above","Yes, 3 doses","Yes","Very confident","Very confident","Very confident","Medical experience","Unlikely","Very likely","Unlikely","I don't know","Unlikely","Likely","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Neutral","Hundreds of cases and more","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Severity/lethality of the prevented disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Yes","Neutral","Yes"
"2024/09/03 2:42:14 PM GMT+4","I have read the above information and agree to participate in this research.","Female","40","Other Arab","Physician","pediatrics","DOH/HAAD/SEHA","Primary Healthcare","15","50 and above","Yes, 3 doses","Yes","Very confident","Somewhat unconfident","Somewhat confident","Medical experience;International guidelines;Journals and medical websites","Likely","Unlikely","Unlikely","Likely","Likely","I don't know","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Neutral","Hundreds of cases and more","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Somewhat agree","Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Vaccine safety;Vaccine effectiveness","Agree","Not sure","Not sure","Not sure","Not sure","Agree","Not sure","Not sure","Agree","Not sure","Yes","Not interested at all","No"
"2024/09/03 2:43:33 PM GMT+4","I have read the above information and agree to participate in this research.","Male","55","Non-Arab","Physician","Surgical oncology","MOHAP/EHS","Government Hospital","28","1 to 19","Yes, 4 doses or more","Yes","Very confident","Somewhat confident","Somewhat unconfident","International guidelines;Vaccine manufacturers","Unlikely","Very unlikely","Very unlikely","I don't know","I don't know","Unlikely","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","More positive","More positive","Few cases","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Severity/lethality of the prevented disease;Inclusion of vaccine in the official immunization schedule;Vaccine cost;Vaccine safety;Vaccine effectiveness","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","No","Neutral","Yes"
"2024/09/03 2:46:03 PM GMT+4","I have read the above information and agree to participate in this research.","Female","50","Non-Arab","Administration ","Administration ","TMO","Government Hospital","25","1 to 19","Yes, 2 doses","No","Somewhat confident","Somewhat confident","Somewhat confident","Medical experience;Local guidelines;International guidelines;Journals and medical websites;Vaccine manufacturers","I don't know","Unlikely","I don't know","I don't know","I don't know","I don't know","Agree","Disagree","Disagree","Agree","Agree","Agree","Neutral","Neutral","None","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice;Incidence of disease;Possibility to eradicate disease with vaccination;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Strongly agree","Strongly agree","Strongly agree","Disagree","No","Neutral","Yes"
"2024/09/03 2:49:46 PM GMT+4","I have read the above information and agree to participate in this research.","Male","54","Other Arab","Physician","ED","MOHAP/EHS","Government Hospital","30","50 and above","Yes, 4 doses or more","Yes","Very confident","Somewhat confident","Somewhat confident","Medical experience","Likely","Likely","Unlikely","Unlikely","Likely","Unlikely","Strongly agree","Agree","Disagree","Agree","Agree","Agree","More positive","More negative","Few cases","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","No","Interested","Maybe"
"2024/09/03 2:49:46 PM GMT+4","I have read the above information and agree to participate in this research.","Male","47","Other Arab","Physician","Emergency Medicine ","MOHAP/EHS","Training ","24","1 to 19","Yes, 3 doses","No","Very unconfident","Very unconfident","Somewhat confident","Medical experience;Colleagues experience and advice;Local guidelines;International guidelines","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Unlikely","Very unlikely","Strongly agree","Agree","Disagree","Disagree","Agree","Disagree","Neutral","More negative","None","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Severity/lethality of the prevented disease;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Agree","Not sure","Agree","Strongly agree","Agree","Not sure","Strongly disagree","No","Interested","Yes"
"2024/09/03 2:53:38 PM GMT+4","I have read the above information and agree to participate in this research.","Male","29","Other Arab","Physician","Family medicine ","MOHAP/EHS","Primary Healthcare","5","50 and above","Yes, 2 doses","No","Very confident","Very confident","Somewhat confident","Medical experience;Colleagues experience and advice;Local guidelines;International guidelines;Journals and medical websites","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","More negative","More negative","Tens of cases","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Severity/lethality of the prevented disease;Personal experience with the disease;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Agree","Not sure","Strongly agree","Strongly agree","Agree","Not sure","Disagree","No","Slightly interested","Maybe"
"2024/09/03 3:04:18 PM GMT+4","I have read the above information and agree to participate in this research.","Female","55","Other Arab","Physician","Obgyn ","DOH/HAAD/SEHA","Government Hospital","20 ","20 to 49","Yes, 2 doses","Yes","Very confident","Very confident","Somewhat confident","Local guidelines","Unlikely","Very unlikely","Very unlikely","Unlikely","Unlikely","Unlikely","Strongly agree","Strongly agree","Agree","Agree","Agree","Disagree","More positive","Neutral","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Severity/lethality of the prevented disease;Possibility to eradicate disease with vaccination","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Agree","Strongly agree","Agree","Not sure","No","Neutral","Yes"
"2024/09/03 3:17:40 PM GMT+4","I have read the above information and agree to participate in this research.","Male","50","Other Arab","Physician","Medical ","MOHAP/EHS","Government Hospital","20","20 to 49","Yes, 4 doses or more","Yes","Very confident","Very confident","Very confident","Colleagues experience and advice;International guidelines","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Strongly disagree","Strongly disagree","Agree","Strongly agree","Strongly agree","Agree","More positive","Neutral","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Yes","Very interested","Yes"
"2024/09/03 3:32:05 PM GMT+4","I have read the above information and agree to participate in this research.","Female","55","Emirati","Physician","Dermatology","DOH/HAAD/SEHA","Government Hospital","23","50 and above","Yes, 3 doses","Yes","Somewhat confident","Somewhat confident","Somewhat unconfident","Colleagues experience and advice;International guidelines;Journals and medical websites","I don't know","I don't know","I don't know","Very likely","Likely","I don't know","Strongly agree","Disagree","Agree","Agree","Strongly agree","Agree","Neutral","More negative","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Strongly agree","Agree","Agree","Not sure","No","Neutral","Maybe"
"2024/09/03 3:35:47 PM GMT+4","I have read the above information and agree to participate in this research.","Male","50","Other Arab","Physician","Pediatric ","MOHAP/EHS","Government Hospital","30","50 and above","Yes, 4 doses or more","Yes","Very confident","Very confident","Very confident","Medical experience;International guidelines","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Disagree","Neutral","Neutral","Hundreds of cases and more","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Severity/lethality of the prevented disease;Incidence of disease;Personal experience with the disease;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Strongly agree","Strongly agree","Disagree","Disagree","No","Neutral","Yes"
"2024/09/03 4:05:51 PM GMT+4","I have read the above information and agree to participate in this research.","Female","50","Emirati","Physician","Public health ","MOHAP/EHS","Public health center ","29","1 to 19","Yes, 4 doses or more","No","Somewhat confident","Somewhat confident","Somewhat confident","International guidelines;Journals and medical websites","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Agree","Neutral","More negative","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice;Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Agree","Agree","Strongly disagree","No","Very interested","Yes"
