"Timestamp","Please check the box below to proceed to the survey:","Sex","Age","Citizenship","Occupation","Department","Health Authority","Workplace","Total Years of Practice","Number of patients seen in a week","Have you received the COVID-19 vaccine?","Have you received the influenza vaccine last year?","Vaccine usage and efficacy.","Vaccine safety.","Role of adjuvants.","What is your main source of information about vaccines recommendation and their safety?","Influenza Vaccine and  Guillain-Barré syndrome","Hepatitis B Vaccine and  Guillain-Barré syndrome","Hepatitis B Vaccine and Multiple Sclerosis","Aluminum Adjuvants and Alzheimer Disease","Vaccines with Adjuvants and Long-Term Complications","Measles Vaccine and Autism Disorder","Vaccines are an important part of preventive care in my practice.","Giving a strong recommendation for a vaccination impacts my patients' acceptance.","I prefer to wait for broad community experience before recommending new vaccines.","I am responsible for educating parents on vaccines and the diseases they prevent.","Vaccines recommended by the ministry of health are very useful.  ","There is often a lack of time for advising about vaccines.","How have YOUR attitudes to vaccination changed during the COVID-19 pandemic?","How have your PATIENTS' attitudes to vaccination changed during the COVID-19 pandemic?","How many patients in your practice had a vaccine preventable disease (OTHER THAN COVID-19) in the last year?","Diphtheria, Pertussis, Tetanus, (DTaP/Tdap)","Pneumococcus (PCV13)","Meningococcus (MCV4)","Chickenpox (varicella)","Hemophilus Influenza b(Hib)","Tuberculosis (BCG)","Polio (IPV/OPV)","Measles, Mumps, Rubella (MMR)","Hepatitis A","Hepatitis B","Rotavirus","Seasonal influenza vaccine","Human Papillomavirus (HPV9/HPV4)","What are the 5 most important factors to you personally when it comes to recommending a pediatric vaccine? ","Childhood vaccines are important for children's health.","Childhood vaccines are effective.","Having children vaccinated is important for the health of others in the community.","All childhood vaccines offered by the government programme in the community are beneficial.","New vaccines carry more risks than older vaccines.","The information I receive about vaccines from the vaccine program is reliable and trustworthy.","Getting vaccines is a good way to protect children from disease.","Generally, I promote what my health authority/clinical guidelines recommend about vaccines for children.","I am concerned about serious adverse effects of vaccines.","Children does/do not need vaccines for diseases that are not common anymore.","Have you received any training to address vaccine hesitancy among parents?
","How interested would you be in receiving training in techniques that help address and resolve vaccine hesitancy concerns among parents?","Do you believe such training should be part of university education?"
"2024/03/27 10:59:10 PM GMT+4","I have read the above information and agree to participate in this research.","Male","24","Other Arab","Medical Laboratory Technician","Medical Labs in Al Qassimi Hospita","MOHAP/EHS","Government Hospital","4","1 to 19","Yes, 2 doses","Yes","Very confident","Very confident","Somewhat confident","I am not keen on information about vaccinations;Medical experience;Local guidelines;International guidelines;Vaccine manufacturers","Unlikely","Unlikely","Unlikely","Likely","Unlikely","Likely","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Few cases","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Vaccine cost;Vaccine safety","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","No","Neutral","Yes"
"2024/03/27 11:09:27 PM GMT+4","I have read the above information and agree to participate in this research.","Male","25","Other Arab","Physician","Plastic surgery","MOHAP/EHS","Government Hospital","1","1 to 19","Yes, 3 doses","Yes","Very confident","Somewhat confident","Somewhat confident","Medical experience;Colleagues experience and advice;International guidelines;Journals and medical websites","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Neutral","Few cases","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Severity/lethality of the prevented disease;Personal experience with the disease;Vaccine cost;Vaccine safety","Agree","Agree","Agree","Agree","Agree","Agree","Not sure","Not sure","Not sure","Not sure","No","Slightly interested","Yes"
"2024/03/27 11:14:33 PM GMT+4","I have read the above information and agree to participate in this research.","Male","24","Other Arab","Dentist","General practitioner","University of Sharjah","Private Clinic/Hospital","7","1 to 19","Yes, 3 doses","No","Somewhat unconfident","Somewhat unconfident","Somewhat unconfident","I am not keen on information about vaccinations","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Agree","Agree","Agree","Agree","Agree","Agree","More negative","More negative","None","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","I do not directly deal with pediatric vaccines in my practice","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No","Not interested at all","Yes"
"2024/03/27 11:15:41 PM GMT+4","I have read the above information and agree to participate in this research.","Female","24","Other Arab","Medical intern","GS","DHA","Private Clinic/Hospital","1","1 to 19","Yes, 3 doses","No","Somewhat confident","Somewhat confident","Somewhat confident","Medical experience;Colleagues experience and advice;Local guidelines;International guidelines;Journals and medical websites","Unlikely","Very unlikely","Unlikely","Unlikely","Unlikely","Very unlikely","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","More negative","More negative","Tens of cases","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Not sure","No","Interested","Yes"
"2024/03/27 11:33:23 PM GMT+4","I have read the above information and agree to participate in this research.","Male","23","Other Arab","Physician","Medical Intern ","Dubai Health ","Government Hospital","0.5","1 to 19","Yes, 2 doses","Yes","Very confident","Very confident","Somewhat confident","Medical experience;Local guidelines;International guidelines;Journals and medical websites","Likely","Unlikely","Unlikely","Unlikely","Unlikely","Unlikely","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","More positive","More positive","Few cases","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Inclusion of vaccine in the official immunization schedule;Vaccine cost;Vaccine safety;Vaccine effectiveness;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","Strongly disagree","Yes","Very interested","Yes"
"2024/03/28 12:20:15 AM GMT+4","I have read the above information and agree to participate in this research.","Female","25","Other Arab","Physician","Internal Medicine ","MOHAP/EHS","Government Hospital","1","1 to 19","Yes, 3 doses","Yes","Somewhat confident","Somewhat confident","Somewhat unconfident","Local guidelines;International guidelines","Unlikely","Unlikely","Unlikely","I don't know","I don't know","Very unlikely","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","More negative","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Strongly agree","Disagree","Disagree","Yes","Interested","Yes"
"2024/03/28 1:54:10 AM GMT+4","I have read the above information and agree to participate in this research.","Male","24","Other Arab","Physician","Pediatrics","MOHAP/EHS","Government Hospital","0","20 to 49","Yes, 4 doses or more","No","Somewhat confident","Very confident","Somewhat confident","Medical experience;Colleagues experience and advice;International guidelines","Very unlikely","Very unlikely","Very unlikely","Unlikely","Likely","Very unlikely","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","More positive","More positive","Tens of cases","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Incidence of disease;Personal experience with the disease;Vaccine safety;Vaccine effectiveness;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","No","Slightly interested","Yes"
"2024/03/28 2:05:14 AM GMT+4","I have read the above information and agree to participate in this research.","Female","26","Other Arab","Physician","Intern","DHA","Private Clinic/Hospital","1","50 and above","Yes, 4 doses or more","No","Very confident","Somewhat confident","Somewhat confident","Local guidelines;International guidelines;Journals and medical websites;Vaccine manufacturers","Very unlikely","I don't know","I don't know","I don't know","I don't know","Very unlikely","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","More positive","More negative","None","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Strongly agree","Strongly agree","Agree","Disagree","No","Neutral","Yes"
"2024/03/28 2:20:53 AM GMT+4","I have read the above information and agree to participate in this research.","Female","23","Emirati","Intern","ENT","Mbru (dahc)","Government Hospital","1","50 and above","Yes, 3 doses","No","Somewhat confident","Somewhat confident","Somewhat confident","Colleagues experience and advice;Experience of family and friends;Local guidelines;International guidelines;Social media","Very unlikely","Unlikely","Unlikely","I don't know","I don't know","Unlikely","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Neutral","More negative","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice;Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Agree","Agree","Disagree","No","Neutral","Yes"
"2024/03/28 2:57:14 AM GMT+4","I have read the above information and agree to participate in this research.","Male","26","Other Arab","Physician","Anesthesia","MOHAP/EHS","Government Hospital","2","20 to 49","Yes, 3 doses","No","Somewhat confident","Very confident","Somewhat confident","Medical experience;International guidelines;Journals and medical websites","Likely","Unlikely","Very unlikely","Unlikely","I don't know","Very unlikely","Strongly agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Neutral","Few cases","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Severity/lethality of the prevented disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","Agree","Agree","Agree","Not sure","Disagree","No","Interested","Yes"
"2024/03/28 4:05:43 AM GMT+4","I have read the above information and agree to participate in this research.","Female","24","Other Arab","Physician","Internship","DHA","Government Hospital","1","20 to 49","Yes, 4 doses or more","No","Somewhat confident","Somewhat confident","Somewhat confident","Medical experience;Colleagues experience and advice;Experience of family and friends;Local guidelines;Journals and medical websites;Vaccine manufacturers;Social media","Unlikely","Unlikely","Unlikely","Unlikely","Unlikely","Very unlikely","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","More positive","More positive","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice;Incidence of disease;Vaccine cost;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","No","Very interested","Yes"
"2024/03/28 5:22:31 AM GMT+4","I have read the above information and agree to participate in this research.","Female","23","Other Arab","Physician","Intern dr","MOHAP/EHS","Government Hospital","1","20 to 49","Yes, 4 doses or more","Yes","Somewhat confident","Somewhat confident","Somewhat confident","Medical experience;International guidelines;Journals and medical websites","I don't know","I don't know","I don't know","I don't know","Unlikely","Very unlikely","Strongly agree","Agree","Agree","Agree","Agree","Disagree","Neutral","More negative","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Incidence of disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","Agree","Strongly agree","Agree","Not sure","Disagree","Yes","Neutral","Yes"
"2024/03/28 7:01:29 AM GMT+4","I have read the above information and agree to participate in this research.","Female","25","Emirati","Physician","-","DHA","Government Hospital","1","1 to 19","Yes, 3 doses","No","Somewhat confident","Very confident","Somewhat unconfident","Medical experience;Local guidelines;International guidelines;Journals and medical websites","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","More positive","Neutral","None","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Severity/lethality of the prevented disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","No","Interested","Yes"
"2024/03/28 9:37:00 AM GMT+4","I have read the above information and agree to participate in this research.","Female","23","Other Arab","Medical Intern","Psychiatry","MOHAP/EHS","Government Hospital","1","20 to 49","Yes, 2 doses","No","Somewhat confident","Somewhat confident","Somewhat confident","Local guidelines;International guidelines;Journals and medical websites","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","More positive","Few cases","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly agree","I do not directly deal with pediatric vaccines in my practice;Personal experience with the disease;Vaccine cost;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","No","Neutral","Maybe"
"2024/03/28 9:42:26 AM GMT+4","I have read the above information and agree to participate in this research.","Male","23","Other Arab","Physician","Medicine","MOHAP/EHS","Government Hospital","1","20 to 49","Yes, 3 doses","No","Very confident","Very confident","Very confident","Medical experience","Very unlikely","Very unlikely","Very unlikely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Few cases","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Severity/lethality of the prevented disease","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","No","Neutral","Yes"
"2024/03/28 10:48:46 AM GMT+4","I have read the above information and agree to participate in this research.","Female","24","Other Arab","Physician","Internal Medicine","DOH/HAAD/SEHA","Government Hospital","1","50 and above","Yes, 2 doses","Yes","Somewhat confident","Very confident","Somewhat unconfident","Medical experience;Local guidelines;International guidelines;Journals and medical websites","Very unlikely","Very unlikely","I don't know","I don't know","Very unlikely","Very unlikely","Strongly agree","Agree","Disagree","Strongly agree","Agree","Agree","Neutral","More negative","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice;Incidence of disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Vaccine cost","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Strongly agree","Agree","Disagree","Disagree","No","Not interested at all","Maybe"
