"Timestamp","Please check the box below to proceed to the survey:","Sex","Age","Citizenship","Occupation","Department","Health Authority","Workplace","Total Years of Practice","Number of patients seen in a week","Have you received the COVID-19 vaccine?","Have you received the influenza vaccine last year?","Vaccine usage and efficacy.","Vaccine safety.","Role of adjuvants.","What is your main source of information about vaccines recommendation and their safety?","Influenza Vaccine and  Guillain-Barré syndrome","Hepatitis B Vaccine and  Guillain-Barré syndrome","Hepatitis B Vaccine and Multiple Sclerosis","Aluminum Adjuvants and Alzheimer Disease","Vaccines with Adjuvants and Long-Term Complications","Measles Vaccine and Autism Disorder","Vaccines are an important part of preventive care in my practice.","Giving a strong recommendation for a vaccination impacts my patients' acceptance.","I prefer to wait for broad community experience before recommending new vaccines.","I am responsible for educating parents on vaccines and the diseases they prevent.","Vaccines recommended by the ministry of health are very useful.  ","There is often a lack of time for advising about vaccines.","How have YOUR attitudes to vaccination changed during the COVID-19 pandemic?","How have your PATIENTS' attitudes to vaccination changed during the COVID-19 pandemic?","How many patients in your practice had a vaccine preventable disease (OTHER THAN COVID-19) in the last year?","Diphtheria, Pertussis, Tetanus, (DTaP/Tdap)","Pneumococcus (PCV13)","Meningococcus (MCV4)","Chickenpox (varicella)","Hemophilus Influenza b(Hib)","Tuberculosis (BCG)","Polio (IPV/OPV)","Measles, Mumps, Rubella (MMR)","Hepatitis A","Hepatitis B","Rotavirus","Seasonal influenza vaccine","Human Papillomavirus (HPV9/HPV4)","What are the 5 most important factors to you personally when it comes to recommending a pediatric vaccine? ","Childhood vaccines are important for children's health.","Childhood vaccines are effective.","Having children vaccinated is important for the health of others in the community.","All childhood vaccines offered by the government programme in the community are beneficial.","New vaccines carry more risks than older vaccines.","The information I receive about vaccines from the vaccine program is reliable and trustworthy.","Getting vaccines is a good way to protect children from disease.","Generally, I promote what my health authority/clinical guidelines recommend about vaccines for children.","I am concerned about serious adverse effects of vaccines.","Children does/do not need vaccines for diseases that are not common anymore.","Have you received any training to address vaccine hesitancy among parents?
","How interested would you be in receiving training in techniques that help address and resolve vaccine hesitancy concerns among parents?","Do you believe such training should be part of university education?"
"2024/04/26 6:02:36 AM GMT+4","I have read the above information and agree to participate in this research.","Female","25","Other Arab","Physician","Pediatrics","DHA","Government Hospital","0","20 to 49","Yes, 4 doses or more","Yes","Somewhat confident","Somewhat confident","Somewhat unconfident","Medical experience;Local guidelines;International guidelines;Journals and medical websites","Unlikely","Very unlikely","Very unlikely","Unlikely","Very unlikely","Very unlikely","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","More positive","Neutral","Few cases","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Vaccine safety","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","No","Very interested","Yes"
"2024/04/26 6:05:55 AM GMT+4","I have read the above information and agree to participate in this research.","Female"," 25","Other Arab","Physician","Pediatric ","Dubai health ","Government Hospital","2","20 to 49","Yes, 4 doses or more","Yes","Very confident","Somewhat confident","Somewhat confident","Medical experience;Colleagues experience and advice;Experience of family and friends;Local guidelines;International guidelines","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","More positive","More positive","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Vaccine safety","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Strongly agree","Agree","Not sure","Strongly disagree","No","Neutral","Yes"
"2024/04/26 6:07:10 AM GMT+4","I have read the above information and agree to participate in this research.","Female","29","Non-Arab","Physician","Pediatrics ","DHA","Government Hospital","3","20 to 49","Yes, 4 doses or more","Yes","Very confident","Somewhat confident","Somewhat confident","Medical experience;Local guidelines;International guidelines;Journals and medical websites","Likely","Unlikely","Unlikely","Unlikely","Unlikely","Unlikely","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","More positive","Neutral","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","No","Very interested","Maybe"
"2024/04/26 6:51:19 AM GMT+4","I have read the above information and agree to participate in this research.","Female","23","Emirati","Physician","Peds","DHA","Government Hospital","4","50 and above","Yes, 2 doses","Yes","Somewhat confident","Somewhat confident","Somewhat confident","Medical experience;Colleagues experience and advice","Likely","Unlikely","Unlikely","Unlikely","Likely","Unlikely","Agree","Agree","Strongly disagree","Agree","Agree","Disagree","More positive","Neutral","Tens of cases","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Personal experience with the disease;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","No","Neutral","Maybe"
"2024/04/26 7:19:48 AM GMT+4","I have read the above information and agree to participate in this research.","Female","26","Other Arab","Physician","Peds","MOHAP/EHS","Government Hospital","3","50 and above","Yes, 3 doses","No","Very confident","Somewhat confident","Somewhat confident","Local guidelines;International guidelines;Journals and medical websites","Unlikely","Unlikely","Very unlikely","I don't know","I don't know","Very unlikely","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly Disagree","Neutral","More positive","Few cases","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Severity/lethality of the prevented disease;Incidence of disease;Vaccine cost;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","No","Interested","Yes"
"2024/04/26 9:44:09 AM GMT+4","I have read the above information and agree to participate in this research.","Female","29","Non-Arab","Physician","Pediatrics","DHA","Government Hospital","5","1 to 19","Yes, 2 doses","No","Very confident","Very confident","Somewhat confident","Medical experience;Local guidelines;International guidelines;Journals and medical websites;Social media","Unlikely","Very unlikely","Very unlikely","Unlikely","Very unlikely","Very unlikely","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","More positive","More positive","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes","Very interested","Yes"
"2024/04/26 10:40:47 AM GMT+4","I have read the above information and agree to participate in this research.","Female","40","Non-Arab","Physician","Inte medicine","MOHAP/EHS","Government Hospital","20","50 and above","Yes, 2 doses","Yes","Very confident","Somewhat confident","Somewhat confident","Medical experience;Colleagues experience and advice;Local guidelines;International guidelines;Journals and medical websites","Unlikely","Unlikely","Unlikely","Unlikely","Likely","Unlikely","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly Disagree","More positive","More positive","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","I do not directly deal with pediatric vaccines in my practice;Incidence of disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Strongly agree","Agree","Agree","Not sure","No","Neutral","Yes"
"2024/04/26 10:43:15 AM GMT+4","I have read the above information and agree to participate in this research.","Female","24","Other Arab","Physician","Pediatrics ","DHA","Government Hospital","1","50 and above","Yes, 2 doses","Yes","Somewhat confident","Very confident","Somewhat unconfident","International guidelines;Journals and medical websites","Unlikely","Unlikely","Very unlikely","I don't know","I don't know","Very unlikely","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Agree","More positive","More negative","Hundreds of cases and more","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Vaccine safety","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Strongly agree","Strongly agree","Not sure","Disagree","No","Very interested","Yes"
"2024/04/26 2:59:44 PM GMT+4","I have read the above information and agree to participate in this research.","Female","26","Other Arab","Physician","Pediatrics ","MOHAP/EHS","Government Hospital","4","1 to 19","Yes, 3 doses","No","Somewhat confident","Somewhat confident","Somewhat unconfident","Medical experience;Colleagues experience and advice;Local guidelines;International guidelines;Journals and medical websites;Social media","Unlikely","Unlikely","Unlikely","Unlikely","I don't know","Very unlikely","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Neutral","More negative","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Personal experience with the disease;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Not sure","Agree","Agree","Disagree","Disagree","No","Interested","Yes"
"2024/04/26 4:43:12 PM GMT+4","I have read the above information and agree to participate in this research.","Female","26","Non-Arab","Physician","Peds","MOHAP/EHS","Government Hospital","3","1 to 19","Yes, 2 doses","No","Somewhat confident","Somewhat confident","Somewhat confident","Journals and medical websites","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Unlikely","Very unlikely","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Neutral","More negative","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Severity/lethality of the prevented disease;Possibility to eradicate disease with vaccination;Personal experience with the disease;Inclusion of vaccine in the official immunization schedule;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Disagree","Strongly agree","Strongly agree","Not sure","Agree","No","Slightly interested","Yes"
"2024/04/26 5:50:55 PM GMT+4","I have read the above information and agree to participate in this research.","Female","26","Other Arab","Physician","Pediatrics","DHA","Government Hospital","3","20 to 49","Yes, 2 doses","Yes","Somewhat confident","Somewhat confident","Somewhat unconfident","International guidelines","Unlikely","Very unlikely","Very unlikely","Unlikely","Unlikely","Very unlikely","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","More positive","Neutral","Tens of cases","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Severity/lethality of the prevented disease;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness;Individual health-risk profile of the child","Strongly agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","No","Interested","Yes"
"2024/04/26 6:59:53 PM GMT+4","I have read the above information and agree to participate in this research.","Female","26","Other Arab","Physician","Emergency Department","MOHAP/EHS","Government Hospital","4","50 and above","Yes, 3 doses","Yes","Somewhat confident","Somewhat confident","Somewhat confident","International guidelines;Journals and medical websites","Unlikely","Unlikely","Unlikely","Likely","Unlikely","Very unlikely","Strongly agree","Strongly agree","Agree","Disagree","Strongly agree","Strongly agree","Neutral","More negative","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Severity/lethality of the prevented disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","No","Neutral","Maybe"
"2024/04/26 8:53:22 PM GMT+4","I have read the above information and agree to participate in this research.","Female","27","Non-Arab","Physician","Pediatrics ","DHA","Government Hospital","2","20 to 49","Yes, 3 doses","Yes","Very confident","Very confident","Somewhat unconfident","Medical experience","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","More positive","Neutral","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","No","Very interested","Yes"
"2024/04/26 11:40:49 PM GMT+4","I have read the above information and agree to participate in this research.","Female","28","Emirati","Physician","Peds","DHA","Government Hospital","5","20 to 49","Yes, 4 doses or more","No","Somewhat unconfident","Somewhat confident","Somewhat confident","International guidelines","Unlikely","Unlikely","Unlikely","Unlikely","Unlikely","Likely","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","More negative","More negative","Few cases","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Severity/lethality of the prevented disease;Personal experience with the disease;Vaccine safety;Vaccine effectiveness;Individual health-risk profile of the child","Strongly agree","Strongly agree","Not sure","Not sure","Agree","Not sure","Agree","Agree","Strongly agree","Strongly disagree","No","Very interested","Yes"
"2024/04/27 2:28:49 AM GMT+4","I have read the above information and agree to participate in this research.","Female","24","Other Arab","Physician","NA","NA","NA","0","1 to 19","Yes, 3 doses","No","Somewhat confident","Somewhat unconfident","Somewhat confident","Medical experience;Local guidelines;Journals and medical websites","Unlikely","Unlikely","Unlikely","I don't know","Likely","Unlikely","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Disagree","Neutral","Neutral","Few cases","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly agree","I do not directly deal with pediatric vaccines in my practice;Incidence of disease;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Yes","Interested","Yes"
"2024/04/27 6:15:12 PM GMT+4","I have read the above information and agree to participate in this research.","Female","25","Non-Arab","Physician","Pediatrics ","DHA","Government Hospital","4","1 to 19","Yes, 2 doses","Yes","Very confident","Very confident","Very confident","Medical experience;Colleagues experience and advice;Experience of family and friends;International guidelines;Journals and medical websites","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","No","Neutral","Yes"
